# Package snapshot for the verified Arch Linux host.
# This is an audit record, not a requirement to keep these exact rolling versions.

aarch64-linux-gnu-binutils 2.46.1-1
android-tools 36.0.1-2
bc 1.08.2-1
brotli 1.2.0-1
ccache 4.13.6-1
cpio 2.15-3
curl 8.21.0-1
dtc 1:1.8.1-1
flex 2.6.4-6
gcc 16.1.1+r581+gb73ad535acaa-1
git 2.55.0-1
github-cli 2.96.0-1
jq 1.8.2-1
kmod 34.2-1
lz4 1:1.10.0-2
make 4.4.1-3
python 3.14.6-1
qemu-system-aarch64 11.0.2-4
rsync 3.4.4-1
shellcheck 0.11.0-130
sparse 0.6.5+rc1-2
tar 1.35-2
unzip 6.0-23
wget 1.25.0-6
xz 5.8.3-1
zip 3.0-13
zstd 1.5.7-3
